transcript,geneID,geneName
FBtr0346170,FBgn0052698,CARPB
FBtr0073150,FBgn0035464,PIG-B
FBtr0079841,FBgn0032135,GlcAT-S
FBtr0083979,FBgn0038842,hdly
FBtr0303148,FBgn0004369,Ptp99A
FBtr0100131,FBgn0038201,PK1-R
FBtr0112755,FBgn0085478,Zdhhc8
FBtr0307540,FBgn0259110,mmd
FBtr0308309,FBgn0263257,Cngl
