geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
sicily,FBgn0030352,down - up,-0.130378238249707,0.0307639405526936,127,-0.203335202901762,-0.0574212735976524,-4.23802139476869,0.00012673321628931
CG5877,FBgn0030625,down - up,0.235828718857046,0.058582653328155,127,0.0968994239975302,0.374758013716563,4.02557251096215,0.000284662838698324
CG9981,FBgn0030746,down - up,-1.0536210414169,0.25466249961282,127,-1.65755547402423,-0.449686608809579,-4.13732309632864,0.000186662414103367
ppk28,FBgn0030795,down - up,0.380518040145264,0.0987026663716583,127,0.146443769678955,0.614592310611572,3.85519514450044,0.000533073109709514
FBgn0030895,FBgn0030895,down - up,0.43808749990044,0.112404349351315,127,0.171519563705313,0.704655436095568,3.89742480988184,0.000457144471876725
Ggt-1,FBgn0030932,down - up,-0.186900442386897,0.053342895206695,127,-0.313403603234163,-0.0603972815396311,-3.50375512357715,0.00182398718646304
Usp39,FBgn0030969,down - up,-0.176373550028631,0.0383163518616839,127,-0.267241126748214,-0.0855059733090481,-4.60308827587011,2.95263394899381e-05
CG8034,FBgn0031011,down - up,-0.215841617720642,0.0450964599967252,127,-0.32278828251082,-0.108894952930463,-4.78622086381759,1.37999283531531e-05
FBgn0031023,FBgn0031023,down - up,-0.165531889560495,0.0237371022065278,127,-0.221824643203598,-0.109239135917391,-6.97355086228565,4.52852311205731e-10
CG15459,FBgn0031108,down - up,-0.922282330718182,0.261975974969182,127,-1.54356073660955,-0.301003924826815,-3.52048439108463,0.00172372469526438
CG17660,FBgn0031356,down - up,-0.0922168037074153,0.0206307007249795,127,-0.141142698001138,-0.0432909094136927,-4.46988228546983,5.07157574344275e-05
Elba2,FBgn0031435,down - up,0.311145197481194,0.130686613817118,127,0.00122070492728316,0.621069690035105,2.38084979320536,0.0488694537558316
Coq6,FBgn0031713,down - up,-0.119520327886796,0.0407706742154808,127,-0.216208352377171,-0.0228323033964206,-2.93152689246952,0.0110886074429178
CG11034,FBgn0031741,down - up,-0.652170179737903,0.203044611265318,127,-1.13369232094413,-0.170648038531678,-3.21195512490462,0.00472719401124988
Gas41,FBgn0031873,down - up,0.136058986888162,0.0461350330399266,127,0.0266493366858374,0.245468637090487,2.94914683967848,0.0105298820243686
CG13124,FBgn0032156,down - up,0.0830515438675266,0.0271759234240224,128,0.018609556391454,0.147493531343599,3.05607072008867,0.00764200483507116
Cox10,FBgn0032222,down - up,-0.0761909357245766,0.0276382748057568,127,-0.141735355646778,-0.0106465158023755,-2.75671821993415,0.0182634471040343
CG17124,FBgn0032297,down - up,0.140972130430372,0.0383213006420032,127,0.0500928176332793,0.231851443227464,3.67868856402684,0.000999733950273418
escl,FBgn0032391,down - up,-0.276573496474083,0.0634370363059027,127,-0.427015004689637,-0.126131988258529,-4.35981112264459,7.86625784697792e-05
