geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Ptp4E,FBgn0004368,down - control,0.0731887161853636,0.0303144754833025,127,0.00129766203081882,0.145079770339908,2.41431576890309,0.0449957332028279
fln,FBgn0005633,down - control,1.14506273178342,0.270881886767242,127,0.502663875111943,1.7874615884549,4.22716611084198,0.000132176563376052
wdn,FBgn0005642,down - control,-0.201658135874042,0.057892160114251,127,-0.33894991980049,-0.0643663519475932,-3.48334101674677,0.00195372000007243
Vha55,FBgn0005671,down - control,-0.0982420790582308,0.0284062363309923,127,-0.165607726717977,-0.0308764313984848,-3.45846869375809,0.00212343154784345
CG10939,FBgn0010620,down - control,-0.204122818941456,0.042072289778401,128,-0.303888406615758,-0.104357231267155,-4.85171641516523,1.03882671087518e-05
l(3)04053,FBgn0010830,down - control,0.0758082160623003,0.0248996493926362,127,0.0167584712002735,0.134857960924327,3.04454953830474,0.00792393203400266
Nos,FBgn0011676,down - control,-0.235134331432292,0.0475353333632383,127,-0.347864806579494,-0.12240385628509,-4.94651693374121,6.98245385644114e-06
α-Man-IIa,FBgn0011740,down - control,0.107788698044583,0.0246790968277296,127,0.0492619955949623,0.166315400494203,4.36761113248969,7.62721695637403e-05
bcn92,FBgn0013432,down - control,0.184234672155133,0.0398128847607256,127,0.0898180540626152,0.278651290247651,4.62751376250123,2.67077153044415e-05
Septin2,FBgn0014029,down - control,-0.14079601749761,0.0344357652502649,127,-0.222460747795305,-0.0591312871999155,-4.08865656024669,0.000224547928366792
Cp7Fa,FBgn0014464,down - control,-0.734559743661673,0.160348114796113,127,-1.1148267553979,-0.354292731925449,-4.58103136788161,3.23166771210026e-05
Shark,FBgn0015295,down - control,-0.170382336666471,0.0453746610970489,127,-0.277988757894799,-0.0627759154381436,-3.75501067219106,0.00076376723031113
NetA,FBgn0015773,down - control,0.645066324899247,0.179187195893552,127,0.220122261101083,1.07001038869741,3.59995769609819,0.00131403210523173
mael,FBgn0016034,down - control,-0.700876049780019,0.225762218058122,127,-1.23627320198891,-0.165478897571123,-3.1044877916622,0.00660281824500308
Ipp,FBgn0016672,down - control,-0.272802241014241,0.0519220170002108,127,-0.395935776279641,-0.149668705748841,-5.25407633939054,1.8181146097529e-06
SA,FBgn0020616,down - control,-0.187494957525124,0.0449535513982952,127,-0.294102713275146,-0.0808872017751015,-4.17085973617279,0.00016419697022052
Lcp65Ab2,FBgn0020643,down - control,2.92764276419288,0.742530501189318,127,1.16672493133097,4.68856059705479,3.9427912516774,0.000387056440914635
caps,FBgn0023095,down - control,0.158737070578011,0.0396906228419314,127,0.064610397737223,0.252863743418799,3.99935952656082,0.000313907599395535
wit,FBgn0024179,down - control,-0.132785253712043,0.0334029870179818,127,-0.212000741044356,-0.053569766379729,-3.97525088521456,0.00034331066989346
PRL-1,FBgn0024734,down - control,-0.149058767708719,0.0344167802615484,128,-0.230670924468806,-0.0674466109486313,-4.33099106238163,8.77005905474126e-05
CG2680,FBgn0024995,down - control,-0.339495848190419,0.0657556102929082,127,-0.495435875691024,-0.183555820689814,-5.16299440729294,2.72209869922602e-06
Ant2,FBgn0025111,down - control,-0.219102342110099,0.0726174825733873,127,-0.391315362095407,-0.0468893221247917,-3.0172120313958,0.00860304686213853
Mipp1,FBgn0026061,down - control,-0.17801668119435,0.0334721059997827,127,-0.257396084820267,-0.0986372775684329,-5.31835914942148,1.36402384487422e-06
tyf,FBgn0026083,down - control,-0.0951841662454295,0.0236555843718724,127,-0.151283599602685,-0.0390847328881742,-4.02375036478101,0.000286608785766251
Rok,FBgn0026181,down - control,-0.165098592120044,0.0356573025217086,127,-0.24966020916023,-0.0805369750798575,-4.63014811677158,2.64197224504326e-05
Grip75,FBgn0026431,down - control,-0.158469465782546,0.0507749025992916,127,-0.278882608819376,-0.0380563227457148,-3.12101959176888,0.0062757050625053
bgm,FBgn0027348,down - control,0.473920886237697,0.091296997262802,127,0.257409227377473,0.690432545097921,5.19097999327949,2.40570199960821e-06
CG5867,FBgn0027586,down - control,-0.432610620629505,0.0716948963805218,127,-0.60263571907251,-0.2625855221865,-6.03405043412598,4.88426217248872e-08
VhaSFD,FBgn0027779,down - control,-0.138067249475517,0.0376066490008527,128,-0.227243509141739,-0.048890989809294,-3.67135209181723,0.00102292436722351
SMC2,FBgn0027783,down - control,-0.232768929227551,0.0800554372301572,127,-0.422621126289283,-0.0429167321658195,-2.90759675146545,0.0118903401367164
JhI-21,FBgn0028425,down - control,0.249095149055565,0.0679227520057597,127,0.0880157252845223,0.410174572826608,3.66733004331807,0.0010402356241993
Ube4A,FBgn0028467,down - control,-0.165580101462572,0.0381667390010476,127,-0.256092869923238,-0.0750673330019062,-4.3383350476452,8.56217464763054e-05
CG31775,FBgn0028537,down - control,1.98881571966776,0.500496940749424,127,0.801882675372812,3.1757487639627,3.9736820702436,0.000345312116692198
Vha100-2,FBgn0028670,down - control,-0.158521946242053,0.0378099718404736,127,-0.248188638138553,-0.0688552543455526,-4.19259625240883,0.000151043014009811
Spn55B,FBgn0028983,down - control,0.432307999176184,0.0887674188946108,127,0.221795258408934,0.642820739943434,4.87012019229085,9.67799942186431e-06
lva,FBgn0029688,down - control,0.129470387148248,0.0287332657918779,127,0.0613291861494508,0.197611588147045,4.50594053895696,4.38531845468049e-05
Upf2,FBgn0029992,down - control,0.170696223929939,0.0378260078735963,127,0.0809915024351279,0.260400945424751,4.51266822817669,4.26759032651214e-05
CG15343,FBgn0030029,down - control,0.3029751398559,0.0884265815933421,127,0.0932706978466774,0.512679581865123,3.42629031221888,0.00236343368609504
CG12065,FBgn0030052,down - control,-0.133674910851519,0.0324062308221896,128,-0.210519472421937,-0.0568303492811004,-4.1249755821645,0.000194840601722812
CG15369,FBgn0030105,down - control,2.08663872434074,0.371054568284948,127,1.20667944292228,2.9665980057592,5.62353600438177,3.39242940405882e-07
FBgn0030202,FBgn0030202,down - control,1.35939691023517,0.325148203075397,127,0.588304991180799,2.13048882928953,4.18085321517197,0.000158018790917813
SmydA-4,FBgn0030257,down - control,-0.176755276427298,0.049075300403404,127,-0.293137797407909,-0.0603727554466875,-3.60171562831713,0.00130609962221928
CG10347,FBgn0030342,down - control,0.166920341566758,0.0415654255557665,127,0.0683475570489382,0.265493126084578,4.01584584627452,0.000295198000944463
sicily,FBgn0030352,down - control,-0.104128814609189,0.0307917313645013,127,-0.177151685424052,-0.0311059437943249,-3.38171353135521,0.00273784952930445
CG15747,FBgn0030474,down - control,-0.146580420591994,0.0369360611955368,127,-0.234174625450544,-0.058986215733443,-3.96849084194462,0.00035201433665466
sbm,FBgn0030574,down - control,-0.168797408927084,0.0388796104304319,127,-0.261000758462237,-0.0765940593919304,-4.34154064452669,8.45467074309658e-05
CG5877,FBgn0030625,down - control,0.204844993872784,0.0586038700137625,127,0.0658653834504987,0.343824604295069,3.49541751806968,0.00187596852659666
CG3632,FBgn0030735,down - control,-0.160501032629375,0.0331439015271591,127,-0.239102096365224,-0.0818999688935261,-4.8425509742073,1.08794560362835e-05
ppk28,FBgn0030795,down - control,0.795385075833228,0.0987495315822335,127,0.561199664094055,1.0295704875724,8.05457062012363,1.52700074806944e-12
FBgn0030824,FBgn0030824,down - control,1.99694793029895,0.467648327094653,127,0.887915671866442,3.10598018873146,4.27019154052221,0.000111833920029669
Ggt-1,FBgn0030932,down - control,-0.338586078969495,0.0533798167282992,127,-0.465176799540847,-0.211995358398144,-6.34296068667457,1.08540124665879e-08
Usp39,FBgn0030969,down - control,-0.135094372857316,0.0383219316694383,127,-0.225975182141707,-0.0442135635729257,-3.52524956264284,0.00169612391700957
CG8034,FBgn0031011,down - control,-0.236133870189917,0.0451088420555588,127,-0.343109899145166,-0.129157841234667,-5.23475796383955,1.9813030178728e-06
