geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Cyp18a1,FBgn0010383,socArena - vial,-0.236111263982374,0.035288997561522,127,-0.305941821717195,-0.166280706247554,-6.69078977295242,6.38277387192044e-10
Obp83b,FBgn0010403,socArena - vial,-0.692038482980754,0.173575031827436,127,-1.03551214669755,-0.348564819263956,-3.98697022085966,0.000112240010486999
emp,FBgn0010435,socArena - vial,-0.0877015380184375,0.0211923765029293,128,-0.129634275643572,-0.0457688003933033,-4.13835314818586,6.29692277564704e-05
CG10939,FBgn0010620,socArena - vial,-0.117734446767475,0.02747098734895,128,-0.172090488651106,-0.0633784048838439,-4.28577412496879,3.55050985229125e-05
MFS14,FBgn0010651,socArena - vial,0.287702684029772,0.0405799118975661,127,0.207402361650348,0.368003006409196,7.08978089346288,8.29293108138309e-11
Dif,FBgn0011274,socArena - vial,-0.10975407665444,0.0183895878320859,127,-0.146143752291705,-0.0733644010171746,-5.96827278874311,2.23658032465604e-08
Obp69a,FBgn0011279,socArena - vial,-0.544823190314929,0.113954793316965,127,-0.770319161403565,-0.319327219226294,-4.78104671559979,4.74504850017583e-06
a5,FBgn0011294,socArena - vial,-0.690921549490122,0.172849732044779,127,-1.03295997582848,-0.348883123151761,-3.99723818669923,0.000108005603653248
repo,FBgn0011701,socArena - vial,0.110667977484872,0.0182861333692414,127,0.0744830195596358,0.146852935410108,6.05201631477893,1.49618627378169e-08
FBgn0011746,FBgn0011746,socArena - vial,0.123756791582263,0.0293286586260852,127,0.0657206689663351,0.181792914198192,4.21965399645632,4.61952638128232e-05
Cyp6a8,FBgn0013772,socArena - vial,-0.384735708126566,0.0761099364790887,127,-0.535343537216379,-0.234127879036753,-5.0549997270366,1.46589891796041e-06
Esp,FBgn0013953,socArena - vial,-0.2710629869177,0.0613567959028005,127,-0.392477013236937,-0.149648960598463,-4.41781522208411,2.11281365787986e-05
Rel,FBgn0014018,socArena - vial,-0.28528170542739,0.0400288813991902,127,-0.364491637892411,-0.20607177296237,-7.12689676692194,6.8422382008158e-11
CG13397,FBgn0014417,socArena - vial,-0.14509979771941,0.0311173109768299,127,-0.206675340547784,-0.0835242548910357,-4.66299282182357,7.77349202661428e-06
Cyp4e2,FBgn0014469,socArena - vial,-0.205547757949713,0.0410357907680504,127,-0.28675018234351,-0.124345333555916,-5.00898737669138,1.79056909838223e-06
Cyp4p1,FBgn0015037,socArena - vial,-0.166606763506469,0.0395359661527288,127,-0.244841305652839,-0.0883722213600992,-4.21405569963465,4.72112319688717e-05
olf186-M,FBgn0015522,socArena - vial,-0.319777301990608,0.0449838243405629,127,-0.408792172341355,-0.230762431639861,-7.10871755966417,7.51834955537093e-11
FBgn0015568,FBgn0015568,socArena - vial,-0.153832968510947,0.0298552391371476,127,-0.212911098928759,-0.094754838093134,-5.15262891729909,9.55384614075345e-07
lama,FBgn0016031,socArena - vial,0.0858604990078865,0.0185415596180778,127,0.0491700986317768,0.122550899383996,4.63070533312491,8.88500668599834e-06
dos,FBgn0016794,socArena - vial,-0.119064905853547,0.0207108415006746,127,-0.160047923595217,-0.0780818881118783,-5.74891685833574,6.32287458726359e-08
Pino,FBgn0016926,socArena - vial,0.245381552894367,0.0196352776129836,127,0.206526881984482,0.284236223804252,12.496973953254,7.2747970936654e-24
Pdk,FBgn0017558,socArena - vial,-0.151915345206177,0.0236080667745055,127,-0.198631448916137,-0.105199241496216,-6.43489137239442,2.29918023189367e-09
Ork1,FBgn0017561,socArena - vial,0.188910726337828,0.0387477901209319,127,0.112235842319963,0.265585610355694,4.87539355788389,3.18069487042724e-06
lush,FBgn0020277,socArena - vial,-0.614849931932866,0.133502347777926,127,-0.879026985644519,-0.350672878221214,-4.60553647307862,9.85654646800015e-06
Idgf1,FBgn0020416,socArena - vial,-0.300468897111201,0.044985501072117,127,-0.389487085411102,-0.2114507088113,-6.67923864245758,6.76614691526208e-10
aay,FBgn0023129,socArena - vial,0.155627307148427,0.0389162539773671,127,0.0786190635605562,0.232635550736299,3.99903102798478,0.000107282068673997
Stip1,FBgn0024352,socArena - vial,-0.137322432819512,0.0222244211969365,127,-0.181300551631474,-0.0933443140075502,-6.1788980510521,8.09329913467286e-09
Cyp6g1,FBgn0025454,socArena - vial,-0.233355762006963,0.0458471861719363,127,-0.324079069615148,-0.142632454398778,-5.08986006538834,1.2588064556402e-06
CG4199,FBgn0025628,socArena - vial,-0.125974231131665,0.0301369510911559,127,-0.185609818667229,-0.066338643596102,-4.18005891673077,5.38567075694269e-05
Ugt35B1,FBgn0026314,socArena - vial,-0.246205341664888,0.0573150431837642,127,-0.359621468749257,-0.132789214580518,-4.29564958845972,3.43180536013066e-05
Hsc70Cb,FBgn0026418,socArena - vial,-0.0824086173390368,0.0182312445054606,127,-0.118484960108386,-0.0463322745696877,-4.52018606378484,1.39759437602236e-05
Pisd,FBgn0026576,socArena - vial,0.292420195116102,0.0496963393637015,127,0.194080107979988,0.390760282252216,5.88413953341778,3.33991095004624e-08
Agpat2,FBgn0026718,socArena - vial,-0.162434855030676,0.0366965185815831,127,-0.235050642855498,-0.0898190672058535,-4.42643774693649,2.0410180985677e-05
Ugt49B1,FBgn0027073,socArena - vial,-0.153555560740075,0.0376495652985259,127,-0.228057256025868,-0.0790538654542815,-4.07854803959946,7.94629656013144e-05
Tim9b,FBgn0027358,socArena - vial,0.124690397131669,0.0314140006311644,127,0.0625277590195539,0.186853035243785,3.96926194137686,0.000119917471590955
EDTP,FBgn0027506,socArena - vial,-0.094609852645478,0.0232593568117566,127,-0.140635922269206,-0.0485837830217505,-4.06760399314468,8.28342067802709e-05
CG18659,FBgn0027561,socArena - vial,-0.0590254286338811,0.0139243391793366,128,-0.0865771126712892,-0.031473744596473,-4.23901112100698,4.2643466535216e-05
mino,FBgn0027579,socArena - vial,-0.130326561161699,0.0327797667319419,127,-0.195191803913868,-0.0654613184095303,-3.97582332502396,0.000117016104069568
FBgn0028394,FBgn0028394,socArena - vial,-0.135572718780193,0.0247597505372055,127,-0.184567796817585,-0.0865776407428021,-5.47552846206886,2.24179053209243e-07
JhI-26,FBgn0028424,socArena - vial,-0.123034260980916,0.027848931912085,127,-0.178142271469159,-0.0679262504926732,-4.41791668597264,2.11195484349377e-05
Usp1,FBgn0028476,socArena - vial,-0.187616719169257,0.0362357143804403,127,-0.259320658639185,-0.115912779699329,-5.1776740814176,8.55347906702527e-07
Spn27A,FBgn0028990,socArena - vial,-0.113064209009735,0.0257423006289583,127,-0.164003576362511,-0.0621248416569593,-4.39215634373199,2.34114246837462e-05
ced-6,FBgn0029092,socArena - vial,-0.121229094640776,0.0210884532659196,127,-0.162959337920046,-0.0794988513615066,-5.7486005783407,6.33226186312756e-08
mora,FBgn0029503,socArena - vial,-0.116594407049401,0.0272380607589785,127,-0.170493613766691,-0.0626952003321118,-4.28056931369346,3.64130483749311e-05
Tsp42Ee,FBgn0029506,socArena - vial,-0.0659795332212812,0.0143396641424051,127,-0.0943551407473502,-0.0376039256952122,-4.60119097393414,1.00343658447435e-05
CG3097,FBgn0029804,socArena - vial,-0.155425404773139,0.0386117672607794,127,-0.231831124098169,-0.0790196854481089,-4.02533776098394,9.71833136959982e-05
CG6067,FBgn0029828,socArena - vial,0.215724030528266,0.0541451963020445,127,0.10858045837546,0.322867602681072,3.9841767185563,0.000113419159894186
CG5966,FBgn0029831,socArena - vial,-1.21408774002955,0.098107694420284,127,-1.40822516225306,-1.01995031780603,-12.3750511843497,1.44745743680339e-23
CG3226,FBgn0029882,socArena - vial,-0.0856873712171499,0.0210976825162007,127,-0.127435877517166,-0.0439388649171334,-4.06145893755637,8.47866652784654e-05
CG4607,FBgn0029932,socArena - vial,-0.141290368780055,0.0275491185593404,127,-0.195805102749122,-0.0867756348109878,-5.1286711215721,1.06169377539284e-06
