geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
CG10939,FBgn0010620,control - up,0.180661901841011,0.0422115495696061,128,0.0805660888573158,0.280757714824707,4.27991636609082,0.000107162651724946
l(3)04053,FBgn0010830,control - up,-0.132189925086567,0.0250286722194645,127,-0.191545648755181,-0.072834201417953,-5.28153966488738,1.60847001928754e-06
Nos,FBgn0011676,control - up,0.288922811608475,0.0477147971763219,127,0.175766736397294,0.402078886819655,6.05520359943708,4.41153823471652e-08
bcn92,FBgn0013432,control - up,-0.107973559074424,0.0399184837148394,127,-0.202640606046473,-0.0133065121023749,-2.70485121242933,0.0210733603007488
Septin2,FBgn0014029,control - up,0.106310161201257,0.0345099387574212,127,0.0244695277571351,0.188150794645379,3.08056649849591,0.00710382568440637
Pglym78,FBgn0014869,control - up,-0.148182821592654,0.0352225082159931,127,-0.231713319984737,-0.0646523232005705,-4.20704910291909,0.000142861453392817
Shark,FBgn0015295,control - up,0.112777985990087,0.0454642847298566,127,0.00495902150191517,0.220596950478259,2.48058419174965,0.0380948754298506
mael,FBgn0016034,control - up,0.931297549625354,0.226112313015358,127,0.395070144043155,1.46752495520755,4.11873876838408,0.000200346626626047
SA,FBgn0020616,control - up,0.160814216031733,0.0450866388062064,127,0.0538908422841408,0.267737589779325,3.56678209531105,0.00147248273478284
Pp4-19C,FBgn0023177,control - up,-0.108481409232903,0.0293430760309434,127,-0.178068780756564,-0.0388940377092424,-3.69700194752947,0.000937545640136372
Lip1,FBgn0023496,control - up,-1.44937625437619,0.2444570183831,127,-2.02910829548369,-0.869644213268703,-5.92896151627281,8.07695749172055e-08
Ac78C,FBgn0024150,control - up,0.666296441719534,0.16242254085731,127,0.281109909723515,1.05148297371555,4.10224121727588,0.000213292334957593
Srp54,FBgn0024285,control - up,-0.167945917470281,0.0461660393103198,127,-0.277429099324677,-0.0584627356158847,-3.63786714171815,0.00115261024080426
PRL-1,FBgn0024734,control - up,0.0959273910699706,0.0345578603681396,128,0.0139806925053521,0.177874089634589,2.77584867952097,0.0172976268791836
Ant2,FBgn0025111,control - up,0.347193429017688,0.0728188543203519,127,0.174502854104069,0.519884003931307,4.76790567852496,1.49034788321512e-05
Rok,FBgn0026181,control - up,0.0937315276748517,0.0357694692794792,127,0.00890390614906376,0.17855914920064,2.62043383821255,0.0264698007648925
Septin5,FBgn0026361,control - up,-0.835935275735377,0.127790951664742,127,-1.13899267917457,-0.532877872296184,-6.54142773682792,4.05240008216623e-09
Grip75,FBgn0026431,control - up,-0.190549316247887,0.0508908796752093,127,-0.311237499974439,-0.0698611325213343,-3.74427240134169,0.000793450557901143
