gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0052685,FBtr0308584,down - control,0.261240462230276,0.0538965551101679,404,4.8470716114654,6.23490429083606e-05
FBgn0034565,FBtr0071554,down - control,1.03115888647113,0.282160351126638,268,3.65451376266656,0.00415789398019317
FBgn0020306,FBtr0071603,down - control,0.361008545668856,0.0901274319243328,404,4.00553458542948,0.0023746007323715
FBgn0002715,FBtr0071761,down - control,-0.797624638458387,0.165876588172117,268,-4.80854258728035,3.71862512221766e-05
FBgn0034860,FBtr0072025,down - control,-0.521285655198618,0.159028184555474,404,-3.27794508033748,0.0309340200763674
FBgn0261794,FBtr0072139,down - control,-0.727061284233774,0.127381544515392,540,-5.70774429686647,1.23505173132976e-06
FBgn0021875,FBtr0072253,down - control,0.329684802076187,0.0679415590253628,269,4.85247625761891,3.03443078377708e-05
FBgn0035020,FBtr0072303,down - control,0.201686731994382,0.0490288920365021,404,4.11363022122192,0.00154533164681558
FBgn0035039,FBtr0343487,down - control,-0.488768338158023,0.102831026995667,268,-4.75312123624534,4.78450090256599e-05
FBgn0004055,FBtr0345678,down - control,-0.299947539170328,0.0895994653805968,269,-3.34764875991418,0.0118709891918825
FBgn0265434,FBtr0072398,down - control,0.107523080504678,0.0304155751678637,269,3.53513224429451,0.00632092203905488
FBgn0010435,FBtr0343508,down - control,0.275673792086719,0.0712234923953063,404,3.87054583839652,0.00399309123556002
FBgn0035089,FBtr0072404,down - control,0.566085823975365,0.115806435286671,404,4.88820696858562,5.13275537141755e-05
FBgn0035083,FBtr0100389,down - control,-0.220030981451938,0.0703143646290728,268,-3.12924652896546,0.0236406334028205
FBgn0035104,FBtr0334068,down - control,0.46133483381587,0.115996160977352,268,3.97715605351752,0.00125092353606138
FBgn0035106,FBtr0072532,down - control,0.576985189284185,0.157973927989139,268,3.65240768922231,0.00418927247209022
FBgn0035147,FBtr0072556,down - control,-0.18161368995993,0.0583423425765326,268,-3.11289677341446,0.0248403478204193
FBgn0035147,FBtr0306917,down - control,0.185007885671696,0.0566319944132635,268,3.2668439031412,0.0154106948811853
FBgn0035165,FBtr0345588,down - control,0.650430700426889,0.0686744765773973,268,9.47121453039169,2.90878432451791e-13
FBgn0052333,FBtr0100256,down - control,-1.39643303050942,0.186087757521087,268,-7.50416389079854,1.39968037160543e-11
FBgn0035293,FBtr0346543,down - control,-0.45183700528894,0.0981955264445243,269,-4.60140111926795,9.40614617354063e-05
FBgn0035359,FBtr0333445,down - control,0.360112319635278,0.10038810661345,268,3.58720103191019,0.00527608677012037
FBgn0004167,FBtr0332056,down - control,0.546597777612002,0.106057257210452,677,5.1537989194589,3.41105574643841e-05
FBgn0014388,FBtr0073146,down - control,0.359037424439985,0.085104385107493,268,4.21878877318125,0.000478275516242577
FBgn0035475,FBtr0345342,down - control,0.172536902886378,0.0469003346575439,268,3.67879897118443,0.00381143596827271
FBgn0035498,FBtr0073209,down - control,-0.297963595874567,0.0802785335362771,269,-3.7116223073497,0.00338337083708928
FBgn0035539,FBtr0073291,down - control,-0.309403840785711,0.104176171926036,269,-2.97000585705323,0.037804993716294
FBgn0030258,FBtr0073397,down - control,0.545252523213443,0.119393288528503,404,4.56686075016077,0.000225415651514127
FBgn0017561,FBtr0073405,down - control,0.440321089393509,0.104844265076142,268,4.19976323048029,0.000516847097651763
FBgn0285926,FBtr0073413,down - control,0.401833377099712,0.0760733957731654,268,5.28218009746657,3.92036918750449e-06
FBgn0030306,FBtr0340294,down - control,0.290552532889162,0.0777726800810765,404,3.73592028185562,0.006578985444471
FBgn0027259,FBtr0073541,down - control,0.892775432167255,0.285602243261019,268,3.12593984547707,0.0238790595570039
FBgn0000259,FBtr0308084,down - control,0.185457186769872,0.0439639370644979,541,4.21839350961207,0.00170821713143754
FBgn0010303,FBtr0330397,down - control,-0.256887354166751,0.0603933805030623,404,-4.25356805707747,0.000870981167379492
FBgn0086674,FBtr0310432,down - control,0.68934392453549,0.112876680074844,268,6.10705350368573,5.31158798056097e-08
FBgn0030519,FBtr0331719,down - control,0.190748130836231,0.0606812382829331,268,3.14344493015858,0.0226406025994418
FBgn0030510,FBtr0346119,down - control,0.491986396742268,0.120232932862085,404,4.09194373813211,0.00168601059937012
FBgn0027601,FBtr0303294,down - control,0.164719375590204,0.0414642866345133,268,3.97256021892096,0.00127336803944544
FBgn0030625,FBtr0074002,down - control,0.289038474414788,0.0788931600592293,268,3.66366962861915,0.00402398994102027
FBgn0004924,FBtr0308699,down - control,0.33015078839421,0.0568048039302909,405,5.81202232119947,4.4749342253958e-07
FBgn0030641,FBtr0345130,down - control,0.292297451308805,0.0851089176961876,404,3.4343927665984,0.0187310325865723
FBgn0030653,FBtr0074045,down - control,2.02967715193626,0.438362845409597,268,4.63013043461694,8.29781953350928e-05
FBgn0026666,FBtr0332613,down - control,0.250930094098341,0.0552564235684244,268,4.54119318431119,0.000122629203372693
FBgn0030694,FBtr0340114,down - control,-0.370726937150839,0.0931748279625195,269,-3.97883146400836,0.00124177331081177
FBgn0026076,FBtr0074175,down - control,-0.363822986722744,0.065765341052236,269,-5.53213867519925,1.11557343063229e-06
FBgn0052581,FBtr0074184,down - control,-0.78904570546958,0.212084236994486,268,-3.72043541119039,0.00327897113957554
FBgn0262734,FBtr0074281,down - control,0.223449192431316,0.0335895939801381,268,6.65233383182433,2.42177944365096e-09
FBgn0267384,FBtr0340157,down - control,-0.253445784838941,0.0378797402532681,269,-6.69080049505024,1.92298987844453e-09
FBgn0030749,FBtr0334038,down - control,-0.198287267708938,0.0566079491310592,404,-3.5028166671409,0.0149057736059994
FBgn0030749,FBtr0334039,down - control,0.201076828611348,0.0559062773450046,404,3.59667712036125,0.010801710933465
FBgn0030802,FBtr0310520,down - control,0.691695775582081,0.106575054353539,268,6.49022212353308,6.18231421611881e-09
FBgn0261791,FBtr0074377,down - control,0.549733902154027,0.0823159616546244,269,6.67833906211971,2.06846040295972e-09
FBgn0030817,FBtr0074384,down - control,-0.310452164889105,0.0908821969852922,269,-3.41598437523849,0.00947340437895738
FBgn0030812,FBtr0310525,down - control,0.597097531035069,0.0924431758119,269,6.45907635464647,7.35006555618867e-09
FBgn0024238,FBtr0074441,down - control,-0.184567164040122,0.048799136969464,268,-3.78218090528148,0.00261523104085315
FBgn0283469,FBtr0342787,down - control,-0.244937075697538,0.0482699447033558,269,-5.07431854755179,1.07203419982271e-05
FBgn0030890,FBtr0074531,down - control,-0.532003814287789,0.124969795432273,268,-4.25705917535973,0.000408800351258232
FBgn0027087,FBtr0333804,down - control,0.404067079870635,0.0506388211696256,268,7.97939348779714,9.44133660141233e-13
FBgn0031047,FBtr0074743,down - control,-0.181505344348647,0.057346286459362,268,-3.16507581493126,0.0211889854952571
FBgn0031047,FBtr0074744,down - control,0.233786886028745,0.0567824530110507,268,4.11723822468971,0.000720918473262722
FBgn0036934,FBtr0074871,down - control,-0.456480240324563,0.0946277198670683,268,-4.82395899389544,3.46537287143622e-05
FBgn0036926,FBtr0074901,down - control,0.256579320612365,0.0528235547459759,404,4.85728993147535,5.94161308982155e-05
FBgn0020887,FBtr0074917,down - control,0.324490893513274,0.10924472362347,268,2.97031181690464,0.0377813085559769
FBgn0036661,FBtr0333607,down - control,0.230286683261813,0.0616212450947451,405,3.73713129145213,0.00654820123902267
FBgn0010280,FBtr0075449,down - control,-0.483255122410018,0.0973662245086767,676,-4.96327268360861,8.83176189017121e-05
FBgn0036556,FBtr0333579,down - control,0.792851560502523,0.247218683943318,268,3.20708592027093,0.0186037561428011
FBgn0000565,FBtr0075553,down - control,0.3337201888668,0.0840458109372111,404,3.97069390068846,0.00272037819253412
FBgn0000565,FBtr0075554,down - control,0.42886021944664,0.0857952948207232,404,4.99864497630996,3.02271642754759e-05
FBgn0036342,FBtr0332077,down - control,0.293417945960572,0.0688282060011295,405,4.26304800034679,0.000836803994383128
FBgn0036342,FBtr0345366,down - control,-0.309146156452175,0.0734728069171041,405,-4.20762686800532,0.00105310916040424
FBgn0036317,FBtr0075939,down - control,-1.49298309613469,0.306761498277473,404,-4.86691812537781,5.67742230090929e-05
FBgn0036116,FBtr0076199,down - control,-0.209615552869751,0.0606514237929356,268,-3.4560697797529,0.00828482493070137
FBgn0052066,FBtr0076277,down - control,-0.305792147879825,0.0693555987655285,268,-4.40904776719788,0.000216491250058182
FBgn0052056,FBtr0076302,down - control,0.238310412298074,0.0526642445622101,269,4.5250893519714,0.000131340373286881
FBgn0040305,FBtr0113323,down - control,-0.677775119784639,0.135072182425892,404,-5.01787346300194,2.75356312944286e-05
FBgn0035978,FBtr0301699,down - control,0.393973082096773,0.0814359362365005,540,4.83782836305367,0.000108387419146538
FBgn0035968,FBtr0076503,down - control,-0.386341700812051,0.105695885167803,404,-3.65521988106438,0.00879198131972225
