gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0035106,FBtr0072532,control - up,-0.66016544812051,0.157350677113771,268,-4.19550433610898,0.000525876342445386
FBgn0035165,FBtr0345588,control - up,-0.399043400036941,0.0688698825394061,268,-5.7941640862915,2.86781899117017e-07
FBgn0035438,FBtr0073068,control - up,0.242320573649825,0.0632730458536342,404,3.8297598982412,0.00465466298102246
FBgn0014388,FBtr0073146,control - up,0.257439556884382,0.086377084161421,268,2.98041499529298,0.0367022884565826
FBgn0035498,FBtr0073209,control - up,0.303486091082378,0.0801855489877138,269,3.78479782097494,0.00258826582659843
FBgn0035539,FBtr0073291,control - up,0.331775134844926,0.104368177656865,269,3.1788917109937,0.020298762367272
FBgn0285926,FBtr0073413,control - up,-0.288479373493114,0.0763871784140208,268,-3.77654181608262,0.00267021166718628
FBgn0001624,FBtr0112812,control - up,-0.382228386992193,0.0933629266166813,676,-4.09400605618869,0.00426104943860817
FBgn0014133,FBtr0073526,control - up,-0.219851820195497,0.0658792562082007,540,-3.33719341792038,0.0422791484910027
FBgn0030412,FBtr0307899,control - up,0.852142170657807,0.144055529358032,676,5.91537287360843,5.46186903815915e-07
FBgn0030418,FBtr0346128,control - up,-0.420387265136813,0.112325353275797,404,-3.74258573756382,0.00642126298260082
FBgn0010303,FBtr0330397,control - up,0.205237864906207,0.0598292025385461,404,3.43039613095258,0.0189794522473367
FBgn0086674,FBtr0310432,control - up,-0.341231035135872,0.114308478275141,268,-2.98517695524322,0.0362030234109515
FBgn0052594,FBtr0310270,control - up,0.643445910354715,0.111484570404636,404,5.77161402711883,5.59477540629238e-07
FBgn0030625,FBtr0074001,control - up,0.283760294138277,0.0846393756473317,268,3.35258019057968,0.0116860923545195
FBgn0026666,FBtr0332613,control - up,-0.162259186778625,0.055473017662803,268,-2.92501099840882,0.0429626342709375
FBgn0026076,FBtr0074175,control - up,0.250760620840627,0.0658437427357673,269,3.80841991086285,0.00237129361101862
FBgn0030693,FBtr0074186,control - up,0.400003885154046,0.108689163470157,405,3.68025544022038,0.00803961393844099
FBgn0267384,FBtr0340157,control - up,0.146746436537955,0.0375989515473779,269,3.90293959003198,0.00166183511156626
FBgn0030761,FBtr0310319,control - up,1.75378566941397,0.274802423811571,404,6.38198762983446,1.72101352058363e-08
FBgn0261791,FBtr0074377,control - up,-0.267239898203013,0.0828003658445621,269,-3.22752074193358,0.0174446818745037
FBgn0030817,FBtr0074384,control - up,0.480926170183924,0.0915460852175129,269,5.25337778279919,4.5055464024113e-06
FBgn0024238,FBtr0074441,control - up,0.216444405618088,0.0490320826185077,268,4.41434248881749,0.000211675564468328
FBgn0030890,FBtr0074531,control - up,0.442894663274934,0.123915098337145,268,3.57417836259079,0.0055220829308168
FBgn0027087,FBtr0333804,control - up,-0.209124333869338,0.0509732560863513,268,-4.10262851396173,0.00076419085870838
FBgn0031047,FBtr0074743,control - up,0.186193408286792,0.0576275891707355,268,3.23097688045129,0.0172624203587123
FBgn0031047,FBtr0074744,control - up,-0.206281994116009,0.0570801807845419,268,-3.6138987522596,0.0048030167823796
FBgn0036934,FBtr0074871,control - up,0.555035186265257,0.0955273992563331,268,5.81021979647855,2.63427280877693e-07
FBgn0020887,FBtr0074917,control - up,-0.560248948030288,0.109052449849928,268,-5.13742652091971,7.93767005202728e-06
FBgn0036684,FBtr0321285,control - up,0.491891472753897,0.10227954758797,405,4.80928479206288,7.43904926108208e-05
FBgn0036556,FBtr0333579,control - up,-0.987608278078323,0.245426363636259,268,-4.02405130176656,0.00104220302634372
FBgn0000565,FBtr0075554,control - up,-0.472948914426085,0.0860715906287781,404,-5.49483181350611,2.46785078727996e-06
FBgn0036342,FBtr0345366,control - up,0.237790763015767,0.0732566427982845,405,3.24599591153166,0.0341427100908067
FBgn0036317,FBtr0075939,control - up,1.38543405950427,0.297564731551644,404,4.65590815242102,0.000150981212086121
FBgn0036116,FBtr0076199,control - up,0.199277044514888,0.0608231825566849,268,3.27633372898843,0.0149515387831571
FBgn0052066,FBtr0076277,control - up,0.253643897164897,0.0695357765307022,268,3.64767476283097,0.00426058895750747
FBgn0052056,FBtr0076302,control - up,-0.152021626189996,0.0528538582948158,269,-2.87626355188732,0.0491966091038205
FBgn0035978,FBtr0076500,control - up,0.434960855661101,0.0824089554462,540,5.27807752574975,1.22366831043497e-05
FBgn0035781,FBtr0332725,control - up,0.689222104060285,0.181191130607684,268,3.80384018659607,0.00241370782019779
FBgn0035710,FBtr0076960,control - up,0.26713906031951,0.0825475395896976,269,3.23618440534175,0.0169756013922757
FBgn0035676,FBtr0077049,control - up,1.5030640787246,0.319565682971654,268,4.70345897202588,5.98443563503137e-05
FBgn0000719,FBtr0333182,control - up,-0.520866539170208,0.112611094079887,540,-4.62535723878771,0.00029124731884056
FBgn0031191,FBtr0077352,control - up,0.758319696267452,0.200655030900466,812,3.77922094883139,0.0194545977793849
FBgn0031589,FBtr0077483,control - up,0.240146177262778,0.075921912969845,404,3.16306805069783,0.0438776066224347
FBgn0004893,FBtr0077493,control - up,0.730328506099721,0.220846131457661,540,3.30695630156299,0.046409765269662
FBgn0031544,FBtr0333250,control - up,-0.237853403700837,0.0500071709748962,268,-4.75638591553681,4.71431015844903e-05
FBgn0051950,FBtr0332457,control - up,0.302662446191072,0.0683141751930179,269,4.43044866363264,0.000197390237348993
FBgn0015600,FBtr0077665,control - up,0.436808072554825,0.103218889820566,541,4.23186175819336,0.00161543108340978
