gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0261791,FBtr0074377,down - up,0.282494003951014,0.0822467454252527,269,3.43471346483551,0.00889800250848005
FBgn0030812,FBtr0310525,down - up,0.442786169045728,0.0910753578619577,269,4.86175601656,2.90739728462386e-05
FBgn0030876,FBtr0303768,down - up,0.457058356756585,0.133928728929133,540,3.41269838376822,0.0333232837440879
FBgn0283469,FBtr0342787,down - up,-0.194760189038424,0.048560203460364,269,-4.01069549054489,0.00109707288708727
FBgn0027087,FBtr0333804,down - up,0.194942746001297,0.0505120089352683,268,3.85933464359174,0.00196151006195444
FBgn0000568,FBtr0075151,down - up,0.551922841126742,0.131086269641123,268,4.21037872721339,0.000494976471625663
FBgn0000565,FBtr0075553,down - up,0.315518866158549,0.0840763146898628,404,3.75276755793141,0.0061870301598268
FBgn0040305,FBtr0113323,down - up,-0.435078303518693,0.136794184710789,404,-3.18053215813623,0.0416505742433451
FBgn0035978,FBtr0301699,down - up,0.273414068792047,0.0814051399729961,540,3.35868311119844,0.0395397868379757
FBgn0011206,FBtr0300462,down - up,-0.242917829472568,0.0723195211892353,404,-3.35895240286417,0.0239440739537783
FBgn0024542,FBtr0076835,down - up,-0.53478095872936,0.151798632553941,268,-3.52296295251097,0.00659532491723369
FBgn0025814,FBtr0077243,down - up,0.362585865663668,0.117246302780225,268,3.09251428032937,0.0264109015916111
FBgn0014033,FBtr0077467,down - up,-1.05808047429131,0.261805022905639,268,-4.04148271315892,0.000973341991204024
FBgn0004893,FBtr0077493,down - up,0.733768798926272,0.220068123516803,540,3.33428025467871,0.0426628172461686
FBgn0014396,FBtr0333258,down - up,2.09392823409173,0.283988767677756,676,7.37327835609233,0
FBgn0041111,FBtr0290038,down - up,-1.77893541548876,0.270915098844151,404,-6.56639450174067,5.68255131838669e-09
FBgn0031453,FBtr0077713,down - up,0.135872934976972,0.0407728872517377,404,3.33243349037494,0.0260608945551776
FBgn0026479,FBtr0335173,down - up,0.272216343666154,0.0486952985651225,268,5.59019765126003,8.30926775385876e-07
FBgn0031436,FBtr0077745,down - up,-0.276409350997394,0.0724034419639021,268,-3.81762722185504,0.00229307241896881
FBgn0000490,FBtr0077775,down - up,-0.871387571722659,0.171067025253699,540,-5.09383716955596,3.11440281908215e-05
FBgn0031322,FBtr0335379,down - up,0.257803570130369,0.068496383562812,404,3.763754474628,0.00594310724163227
FBgn0031275,FBtr0343787,down - up,0.293214553656447,0.0653891800793416,269,4.48414482794657,0.000156796686460736
FBgn0031285,FBtr0301908,down - up,0.25314805478313,0.0795500286565541,269,3.18224969944462,0.0200890980525552
FBgn0031270,FBtr0310023,down - up,0.312002417009803,0.0749031103813201,269,4.16541336429751,0.000593454649376102
FBgn0016977,FBtr0078123,down - up,-0.294918158823465,0.0755783445370606,405,-3.90215161009314,0.00354034626613153
FBgn0031245,FBtr0343778,down - up,0.32423081524473,0.0686066307964354,541,4.72593991981276,0.000183311140447673
FBgn0037026,FBtr0331528,down - up,-1.06248488820007,0.32068872894488,404,-3.31313448930938,0.0277035047850871
FBgn0037026,FBtr0331529,down - up,-1.7680468386944,0.327536186017681,404,-5.3980198651973,4.08801509133028e-06
FBgn0028427,FBtr0307160,down - up,0.15622268567081,0.0520535595407225,268,3.00119121630085,0.0345669195581887
FBgn0260470,FBtr0079005,down - up,0.144976595741474,0.0418972322698293,268,3.46029052248096,0.0081675363873015
FBgn0053113,FBtr0079042,down - up,0.276803033878382,0.061005597387508,812,4.53733830553493,0.000909723785131877
FBgn0000228,FBtr0310624,down - up,-1.0327421247451,0.183113659161537,540,-5.63989671482698,1.79259486920991e-06
FBgn0031816,FBtr0331186,down - up,-0.71674849543362,0.122622322233975,268,-5.84517143677964,2.18822651110173e-07
FBgn0031830,FBtr0079288,down - up,0.314867105791677,0.04619694137243,268,6.81575655092151,9.26806520418211e-10
FBgn0051635,FBtr0331190,down - up,0.519032597141603,0.138113133866448,404,3.75802490763474,0.00606918441021709
FBgn0031868,FBtr0332324,down - up,-1.18588456655804,0.255560392386192,269,-4.64033004287293,7.91880573954851e-05
FBgn0031961,FBtr0079559,down - up,0.789991674131081,0.20485823459775,268,3.85628469210561,0.00198414897752919
FBgn0031961,FBtr0343419,down - up,-0.643662846969989,0.209818793675443,268,-3.06770826242398,0.0284395619922455
FBgn0045038,FBtr0079562,down - up,-0.361034740513925,0.106537295568416,268,-3.38881082523891,0.0103730813191329
FBgn0032002,FBtr0079593,down - up,2.19924767672557,0.424561716508336,268,5.18004236183267,6.45942784693876e-06
FBgn0032010,FBtr0332362,down - up,0.282413140609694,0.0819301299419235,676,3.44699978884305,0.0436688281590083
FBgn0032116,FBtr0303896,down - up,-1.45244026645184,0.316199066439766,268,-4.59343628937792,9.75636505657906e-05
FBgn0032135,FBtr0079841,down - up,0.233294231298603,0.0579673988267309,268,4.02457650369888,0.0010400628863213
FBgn0051719,FBtr0080039,down - up,-0.288024502156032,0.0754856903465762,404,-3.81561724922472,0.00490678082494911
FBgn0032391,FBtr0080286,down - up,-0.627592630649235,0.150216978418384,268,-4.17790743268223,0.000564792219025945
FBgn0032391,FBtr0342581,down - up,0.436593363164904,0.150236093449113,268,2.90604842778864,0.0453060729386454
FBgn0028527,FBtr0331332,down - up,-0.171420287116624,0.0482024121661816,540,-3.55625951924645,0.0207680857722076
FBgn0004797,FBtr0347182,down - up,-0.470520985688253,0.129635488848388,404,-3.62956926276985,0.0096263853961509
FBgn0086443,FBtr0332578,down - up,0.328500469910884,0.0780665354669515,268,4.20795502126453,0.000499891243357697
FBgn0032810,FBtr0336619,down - up,0.203645864499762,0.0613314331683751,269,3.32041587778793,0.0129704633934755
FBgn0032815,FBtr0305952,down - up,1.69816504642793,0.250911953970953,540,6.76797187042161,2.60846011457261e-09
FBgn0010222,FBtr0081996,down - up,0.727454454250533,0.154412553486798,404,4.71110954274019,0.000117343631259814
FBgn0261552,FBtr0302694,down - up,0.299667017888877,0.0818395088571321,676,3.66164242764468,0.0214050534194097
FBgn0004889,FBtr0345177,down - up,0.981439681113515,0.237845699233274,540,4.12637135873094,0.00248964074012159
FBgn0260944,FBtr0082275,down - up,0.135669596187963,0.039149399390538,269,3.46543237699715,0.00802279326623623
FBgn0037890,FBtr0082360,down - up,0.218019110685105,0.0720220843099662,268,3.02711470757777,0.0320543909942175
FBgn0038198,FBtr0082888,down - up,0.532013382300579,0.126372200680781,268,4.20989251935604,0.000495958712420697
FBgn0262955,FBtr0082892,down - up,0.28185913495888,0.0864101966843228,268,3.26187354935181,0.0156561928483591
FBgn0262955,FBtr0344600,down - up,-0.446102043545358,0.0869644237913423,268,-5.12970734579592,8.2383785524609e-06
FBgn0024321,FBtr0082942,down - up,-0.184583945245865,0.0380231278427853,268,-4.85451765065375,3.01156375919209e-05
FBgn0020299,FBtr0082959,down - up,-0.82905416539547,0.13414028242968,540,-6.18050111703086,8.31617867902423e-08
FBgn0038427,FBtr0100643,down - up,-0.304583236305999,0.0724556440017694,268,-4.20371995173434,0.00050859030267103
FBgn0015520,FBtr0333727,down - up,0.543757757557414,0.123189092682813,268,4.41400894929455,0.000211975886952209
FBgn0286852,FBtr0346323,down - up,0.630803426537489,0.137090172133297,268,4.60137599013398,9.4213189679615e-05
FBgn0038652,FBtr0339167,down - up,0.657224286121231,0.173497117399302,812,3.78809916829129,0.0188462011555941
FBgn0038659,FBtr0083699,down - up,0.633697203043294,0.128219357034807,404,4.94228966435439,3.96561419924168e-05
FBgn0260003,FBtr0110916,down - up,-0.528653867672494,0.133567278760608,812,-3.95795940875609,0.0100613374028633
FBgn0038842,FBtr0083979,down - up,0.338762989173345,0.0820836000033834,404,4.12704838919567,0.00146388787803231
FBgn0015790,FBtr0084010,down - up,-0.198288646805355,0.0592398831784292,269,-3.34721535841173,0.0118878062245636
FBgn0038878,FBtr0084100,down - up,0.331050666171963,0.0918894841792525,404,3.60270458724275,0.0105770332071544
FBgn0038947,FBtr0084210,down - up,0.283809078880189,0.0671154609083336,404,4.22866914775145,0.000965881414172975
FBgn0039065,FBtr0334499,down - up,0.934483533626934,0.171678235123629,540,5.44322658579287,5.16378159354236e-06
FBgn0053111,FBtr0084530,down - up,1.85515103667671,0.223058018456368,540,8.31689911671834,3.60579566205388e-10
FBgn0039172,FBtr0084564,down - up,0.201934655251576,0.0631318440561668,269,3.19861803928806,0.019094417273897
FBgn0027539,FBtr0331697,down - up,-0.215827674011544,0.0533549800759616,269,-4.04512706600715,0.000958623422728566
FBgn0039223,FBtr0339255,down - up,0.149317137837254,0.0509851553094221,269,2.92863946242917,0.0425163323376262
FBgn0039254,FBtr0084749,down - up,0.401302812454238,0.10894200721109,404,3.68363703522242,0.00794503676660996
FBgn0051323,FBtr0307339,down - up,0.460059962029298,0.100597186758618,268,4.57328854665896,0.000106585925826796
FBgn0005659,FBtr0339318,down - up,-0.473443814336896,0.14987596153946,269,-3.15890426639395,0.0215874192109961
FBgn0014869,FBtr0100483,down - up,-0.192166750471636,0.0585148884656012,404,-3.28406591058622,0.0303494644060048
